course_id,total_object_num,total_module_num,vertical_num,problem_num,video_num,sequential_num,discussion_num,html_num,chapter_num,about_num,outlink_num,course_info_num,static_tab_num,course_num,combinedopenended_num,peergrading_num,dictation_num
shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI,2113,2109,719,500,256,130,473,2,19,4,4,2,3,1,0,0,0
9Bd26pfDLvkPINwLnpaGcf0LrLUvY1Mz,1983,1823,969,291,502,124,58,13,14,4,2,2,3,1,0,0,0
Wm3dddHSynJ76EJV6hyLYKGGRL0JF3YK,1356,1339,482,465,273,109,0,2,15,3,1,2,3,1,0,0,0
HbeAZjZFFQUe90oTP0RRO0PEtRAqU3kK,1312,1284,436,468,260,110,0,12,15,3,2,2,3,1,0,0,0
nSfGxfEtzw5G72fVbfaowxsV46Pg1xIc,1151,1151,349,306,150,60,260,1,15,3,2,2,2,1,0,0,0
tXbz2ZYaRyb2ZsWUBPoYzAmisOhHQrYl,1104,1100,476,117,122,118,115,133,14,3,2,2,1,1,0,0,0
WM572q68zD5VW8pcvVTc1RhhFUq3iRFN,1050,1048,459,109,113,116,113,116,13,3,3,2,2,1,0,0,0
q6A6QG7qMpyNcznyT2XaIxnfNGkZRxXl,999,994,308,173,137,62,298,1,10,4,2,2,1,1,0,0,0
G8EPVSXsOYB5YQWZGiz1aVq5Pgr2GrQu,989,983,312,300,113,128,0,101,25,2,3,2,2,1,0,0,0
5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,980,980,414,309,155,78,1,1,14,2,2,2,1,1,0,0,0
V4tXq15GxHo2gaMpaJLZ3IGEkP949IbE,800,799,260,98,114,77,37,165,20,4,3,2,3,1,8,8,0
a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh,787,760,272,85,205,189,0,2,19,4,5,2,0,1,3,0,0
3cnZpv6ReApmCaZyaQwi2izDZxVRdC01,743,713,261,231,110,125,0,1,7,3,1,2,1,1,0,0,0
A3fsA9Zfv1X2fVEQhTw51lKENdNrEqT3,740,740,144,322,110,126,0,2,26,3,2,2,2,1,0,0,0
mTmmr5zd8l4wXhwiULwjSmSbi9ktcFmV,739,735,313,50,235,66,52,7,7,4,1,2,1,1,0,0,0
7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,734,699,252,95,113,72,129,48,12,4,3,2,3,1,0,0,0
Er0RFawC4sHagDmmQZcBGBrzamLQcblZ,702,693,226,93,118,63,130,49,11,4,2,2,3,1,0,0,0
RXDvfPUBYFlVdlueBFbLW0mhhAyGEqpt,659,646,198,193,86,119,4,31,17,4,3,2,1,1,0,0,0
NmbZ3BmS8V4pMg6oxXHWpqqMZCE1jvYt,573,565,231,64,136,85,6,29,14,3,1,2,1,1,0,0,0
xMd9DzNyUCTLRPVbwWVzf4vq06oqrTT1,523,496,175,61,85,160,0,23,12,3,0,2,1,1,0,0,0
gvEwgd64UX4t3K7ftZwXiMkFuxFUAqQE,510,505,178,61,152,91,0,1,16,2,3,2,3,1,0,0,0
5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6,498,488,200,59,112,73,5,28,13,3,1,2,1,1,0,0,0
ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ,495,456,182,16,129,133,0,1,16,3,4,2,2,1,3,3,0
9zpXzW9zCfU8KGBWkhlsGH8B8czISH4J,474,473,207,50,146,54,0,1,8,3,1,2,1,1,0,0,0
SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,467,464,175,69,82,99,0,18,17,2,1,2,1,1,0,0,0
3VkHkmOtom3jM2wCu94xgzzu1d6Dn7or,406,402,123,44,55,52,21,91,9,4,3,2,1,1,0,0,0
DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,398,398,139,42,56,100,0,33,13,4,3,2,2,1,1,2,0
DABrJ6O4AotFwuAbfo1fuMj40VmMpPGX,395,387,122,43,91,102,0,5,18,4,2,2,0,1,3,2,0
9Mq1P5hrrLw6Bh9X4W4ZjisQJDdxjz9x,387,386,150,17,132,61,0,2,12,3,4,2,3,1,0,0,0
I7Go4XwWgpjRJM8EZGEnBpkfSmBNOlsO,381,379,133,43,56,96,0,31,12,4,1,2,2,1,0,0,0
X78EhlW2JxwO1I6S3U4yZVwkEQpKXLOj,371,370,119,16,100,111,0,0,16,4,0,2,2,1,0,0,0
H2lDW05SyKnwntZ6Fora76aPAEswcMa5,343,335,107,54,65,80,1,2,12,2,3,2,3,1,0,0,11
bWdj2GDclj5ofokWjzoa5jAwMkxCykd6,338,323,95,137,37,45,0,2,14,2,2,2,1,1,0,0,0
1pvLqtotBsKv7QSOsLicJDQMHx3lui6d,335,333,134,33,104,28,17,0,11,3,0,2,2,1,0,0,0
TAYxxh39I2LZnftBpL0LfF2NxzrCKpkx,333,333,132,31,103,29,16,0,12,4,1,2,2,1,0,0,0
KHPw0gmg1Ad3V07TqRpyBzA8mRjj7mkt,317,309,114,31,79,74,1,0,12,2,0,2,1,1,0,0,0
AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,274,264,101,15,57,73,0,2,14,3,5,2,1,1,0,0,0
81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv,269,268,78,11,66,90,0,0,15,3,2,2,1,1,0,0,0
fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,221,220,78,33,36,43,1,10,8,3,5,2,1,1,0,0,0
